Age,Gender,Weight (kg),Daily Water Intake (liters),Physical Activity Level,Weather,Hydration Level
23,Female,72,2.16,Low,Cold,Good
61,Male,74,3.0,Low,Hot,Good
45,Male,106,3.49,High,Cold,Good
44,Female,106,2.68,Low,Normal,Poor
30,Male,47,1.5,Moderate,Cold,Good
25,Male,71,2.55,Moderate,Normal,Good
54,Female,95,3.32,High,Normal,Good
41,Male,103,3.91,High,Normal,Good
49,Male,96,2.94,Moderate,Cold,Good
66,Female,102,3.22,Low,Normal,Good
56,Female,46,2.99,High,Hot,Good
54,Female,100,2.44,Moderate,Cold,Poor
66,Female,46,2.28,Moderate,Hot,Good
40,Male,45,1.5,Low,Normal,Good
19,Male,97,2.6,Low,Cold,Poor
49,Female,76,3.57,Moderate,Hot,Good
28,Male,100,3.24,Moderate,Normal,Good
55,Female,68,2.21,Moderate,Normal,Good
51,Female,55,3.37,High,Hot,Good
33,Male,103,3.98,Moderate,Hot,Good
46,Male,47,2.7,Moderate,Hot,Good
53,Male,63,3.5,High,Hot,Good
36,Male,64,3.07,High,Normal,Good
69,Female,77,2.61,High,Cold,Good
56,Female,45,2.93,High,Hot,Good
42,Female,94,4.94,High,Hot,Good
47,Male,86,3.04,High,Cold,Good
33,Male,104,4.08,Moderate,Hot,Good
18,Male,92,3.93,Low,Hot,Good
22,Female,81,3.01,Moderate,Cold,Good
26,Male,63,3.12,High,Normal,Good
20,Male,64,3.01,High,Cold,Good
50,Female,68,3.39,High,Normal,Good
66,Female,80,2.2,Low,Cold,Poor
37,Male,69,2.78,Moderate,Hot,Good
63,Female,98,3.79,Moderate,Hot,Good
58,Male,77,1.73,Moderate,Cold,Poor
31,Female,65,1.63,Low,Normal,Poor
25,Male,51,1.75,Low,Normal,Good
50,Male,92,4.05,High,Hot,Good
68,Male,66,2.42,High,Normal,Good
55,Male,95,4.64,High,Hot,Good
44,Male,71,3.42,High,Normal,Good
47,Female,72,2.83,Moderate,Normal,Good
50,Female,105,4.15,High,Normal,Good
21,Male,79,4.34,High,Hot,Good
34,Male,88,3.58,Moderate,Normal,Good
46,Male,90,3.81,High,Cold,Good
52,Female,81,3.26,Low,Hot,Good
66,Female,90,3.57,High,Cold,Good
52,Female,104,4.17,High,Normal,Good
38,Female,76,2.83,Moderate,Cold,Good
20,Male,62,2.62,High,Cold,Good
48,Male,98,3.64,Moderate,Normal,Good
57,Female,90,3.7,High,Hot,Good
49,Male,91,3.42,Moderate,Cold,Good
19,Female,71,2.43,Moderate,Normal,Good
43,Male,61,1.88,Low,Cold,Good
26,Female,87,4.02,Moderate,Hot,Good
56,Male,86,3.09,Moderate,Normal,Good
52,Female,94,4.09,Moderate,Hot,Good
30,Female,104,4.33,Moderate,Hot,Good
53,Male,89,2.26,Moderate,Cold,Poor
25,Male,60,2.35,High,Normal,Good
68,Male,59,3.05,High,Hot,Good
19,Male,76,3.06,High,Cold,Good
39,Male,95,4.52,High,Hot,Good
39,Male,102,4.42,High,Normal,Good
66,Female,96,2.32,Moderate,Cold,Poor
32,Male,98,3.18,Moderate,Cold,Good
54,Male,52,1.5,Low,Cold,Poor
61,Male,49,1.5,Low,Cold,Good
23,Female,91,3.43,Moderate,Normal,Good
57,Female,96,2.91,High,Cold,Good
67,Male,74,1.66,Moderate,Cold,Poor
36,Male,102,3.84,Moderate,Hot,Good
54,Female,106,4.22,High,Normal,Good
26,Female,56,2.59,High,Normal,Good
18,Female,78,3.78,High,Hot,Good
65,Female,45,2.5,High,Normal,Good
56,Female,108,2.69,Low,Cold,Poor
39,Male,70,2.16,Moderate,Cold,Good
54,Male,101,3.27,Low,Hot,Good
45,Male,91,2.47,Moderate,Cold,Poor
63,Female,106,3.28,Moderate,Cold,Good
29,Male,60,1.6,Moderate,Cold,Poor
65,Male,83,2.74,Low,Hot,Good
47,Male,67,3.26,High,Hot,Good
22,Female,78,2.6,Moderate,Normal,Good
27,Male,63,3.59,High,Hot,Good
18,Male,48,2.56,High,Normal,Good
33,Female,46,1.5,Moderate,Cold,Good
49,Male,68,2.92,High,Cold,Good
52,Male,77,2.47,Moderate,Normal,Good
68,Male,87,3.45,High,Cold,Good
20,Female,109,5.43,High,Hot,Good
27,Male,87,4.01,High,Hot,Good
30,Male,56,1.98,High,Cold,Good
19,Male,79,3.41,Moderate,Hot,Good
43,Female,52,2.15,High,Cold,Good
27,Male,78,2.6,Moderate,Normal,Good
24,Female,102,4.26,High,Normal,Good
62,Female,73,2.13,High,Cold,Poor
42,Male,65,4.12,High,Hot,Good
53,Male,54,1.5,Low,Normal,Poor
41,Male,108,3.82,Moderate,Normal,Good
52,Female,80,2.47,Moderate,Normal,Good
56,Male,68,1.81,Low,Cold,Poor
49,Female,81,3.37,Moderate,Hot,Good
30,Female,67,2.26,Low,Normal,Good
58,Female,74,2.82,Moderate,Normal,Good
37,Male,57,1.81,Low,Cold,Good
66,Male,56,2.54,Low,Hot,Good
36,Male,53,2.61,Moderate,Hot,Good
31,Female,96,3.65,Low,Hot,Good
64,Female,60,2.45,High,Normal,Good
52,Male,56,1.5,Low,Normal,Poor
38,Male,97,4.2,High,Normal,Good
56,Male,97,3.3,High,Cold,Good
56,Female,58,1.5,Low,Normal,Poor
22,Female,79,3.46,Low,Hot,Good
60,Female,62,2.73,Low,Hot,Good
26,Male,102,4.18,High,Normal,Good
55,Female,51,1.5,Moderate,Cold,Poor
57,Female,86,2.88,Low,Hot,Good
44,Female,49,1.98,Moderate,Normal,Good
55,Male,52,1.83,High,Cold,Good
18,Female,61,2.98,High,Cold,Good
42,Female,89,4.62,High,Hot,Good
23,Female,75,2.23,Low,Normal,Poor
61,Male,98,4.55,High,Hot,Good
27,Female,63,2.7,Moderate,Hot,Good
20,Female,89,2.88,Low,Hot,Good
45,Female,102,4.5,Moderate,Hot,Good
25,Male,105,4.17,High,Cold,Good
56,Male,45,2.93,High,Hot,Good
45,Male,106,4.28,Moderate,Hot,Good
66,Male,69,2.34,Moderate,Cold,Good
55,Female,50,2.2,High,Cold,Good
62,Female,76,2.24,Moderate,Cold,Poor
64,Female,65,1.5,Low,Normal,Poor
38,Male,80,3.45,High,Normal,Good
37,Female,101,3.55,Moderate,Normal,Good
58,Female,93,3.89,Moderate,Hot,Good
48,Male,45,3.18,High,Hot,Good
20,Male,60,3.24,Moderate,Hot,Good
28,Male,56,3.14,High,Normal,Good
33,Female,68,3.36,Moderate,Hot,Good
25,Male,80,3.56,Moderate,Hot,Good
67,Male,72,2.64,Moderate,Hot,Good
58,Female,108,3.39,Moderate,Normal,Good
34,Female,77,2.42,Moderate,Cold,Good
30,Male,73,1.52,Low,Cold,Poor
52,Female,50,1.85,Moderate,Cold,Good
22,Female,91,3.85,Low,Hot,Good
27,Male,100,3.08,Low,Cold,Good
62,Female,49,1.5,Low,Hot,Good
50,Female,109,2.95,Low,Cold,Poor
64,Male,93,2.37,Low,Normal,Poor
43,Male,107,4.8,High,Hot,Good
44,Male,93,2.83,Low,Cold,Good
51,Male,45,1.5,Low,Cold,Good
23,Female,49,2.67,High,Cold,Good
40,Male,97,3.85,Moderate,Normal,Good
27,Male,61,3.27,High,Hot,Good
26,Male,45,2.0,Moderate,Cold,Good
30,Male,48,1.67,Moderate,Normal,Good
66,Female,76,3.23,High,Hot,Good
48,Female,83,3.36,Low,Hot,Good
51,Male,98,3.91,High,Normal,Good
67,Female,56,2.2,Moderate,Normal,Good
61,Male,49,1.5,Low,Normal,Good
34,Female,91,3.15,Moderate,Normal,Good
54,Female,58,2.34,High,Cold,Good
68,Male,82,2.48,Moderate,Cold,Good
51,Male,82,3.27,High,Normal,Good
35,Female,74,3.27,High,Normal,Good
68,Male,107,4.84,High,Hot,Good
55,Female,74,2.74,Low,Hot,Good
68,Male,49,1.5,Low,Cold,Good
27,Female,100,4.54,Moderate,Hot,Good
34,Male,78,2.66,Moderate,Cold,Good
19,Male,87,3.05,High,Cold,Good
68,Male,67,2.04,High,Cold,Good
48,Male,60,2.64,Low,Hot,Good
57,Female,48,1.69,High,Cold,Good
20,Male,71,3.5,Moderate,Hot,Good
67,Male,105,2.54,Low,Normal,Poor
36,Female,65,2.12,Moderate,Normal,Good
45,Female,86,2.96,High,Cold,Good
38,Male,45,1.5,Low,Normal,Good
29,Female,90,4.26,High,Hot,Good
31,Male,89,2.19,Low,Cold,Poor
43,Female,91,3.56,Low,Hot,Good
64,Female,100,4.27,Moderate,Hot,Good
65,Female,105,2.85,Moderate,Normal,Poor
53,Female,45,1.5,Low,Cold,Good
52,Male,96,3.29,High,Normal,Good
39,Male,58,2.86,High,Normal,Good
40,Female,46,1.83,Moderate,Cold,Good
31,Male,103,3.34,Moderate,Normal,Good
24,Female,47,2.51,High,Cold,Good
63,Female,62,1.51,Low,Normal,Poor
52,Female,59,1.5,Moderate,Cold,Poor
54,Female,72,3.08,High,Hot,Good
34,Female,88,2.87,Moderate,Normal,Good
30,Female,69,2.25,Low,Normal,Good
20,Female,62,1.5,Low,Cold,Poor
64,Female,78,2.8,High,Cold,Good
57,Male,86,2.56,Moderate,Normal,Poor
23,Female,96,4.03,High,Normal,Good
51,Female,103,3.35,Low,Hot,Good
62,Male,77,1.52,Low,Normal,Poor
38,Male,48,2.99,Moderate,Hot,Good
47,Male,68,2.44,Low,Normal,Good
20,Female,75,2.16,Low,Normal,Poor
53,Female,68,3.05,High,Hot,Good
19,Female,48,2.65,High,Hot,Good
66,Female,95,3.57,Low,Hot,Good
19,Female,52,2.24,High,Cold,Good
62,Male,88,2.75,High,Cold,Good
43,Female,63,2.59,High,Normal,Good
37,Male,56,2.49,Moderate,Hot,Good
43,Male,58,2.73,Moderate,Hot,Good
54,Female,55,2.98,Moderate,Hot,Good
30,Female,47,1.66,Low,Hot,Good
67,Male,54,1.57,Moderate,Cold,Poor
27,Male,88,3.04,High,Cold,Good
57,Female,46,1.5,Low,Cold,Good
54,Male,61,1.85,Low,Hot,Good
32,Male,68,3.35,Moderate,Hot,Good
52,Male,93,3.04,Moderate,Cold,Good
61,Female,94,2.34,Moderate,Cold,Poor
28,Female,53,1.5,Moderate,Cold,Poor
52,Male,79,2.5,Low,Normal,Good
39,Male,104,3.16,Low,Cold,Good
25,Male,55,2.65,High,Cold,Good
31,Male,104,2.48,Low,Cold,Poor
38,Female,81,3.24,Moderate,Normal,Good
31,Female,70,2.21,Low,Cold,Good
42,Female,86,2.47,Low,Normal,Poor
57,Male,83,2.1,Low,Cold,Poor
49,Male,95,2.97,Low,Normal,Good
50,Male,67,2.65,High,Cold,Good
50,Male,69,1.93,Low,Normal,Poor
64,Female,97,4.02,High,Normal,Good
68,Female,83,2.01,Moderate,Cold,Poor
23,Male,51,1.96,Moderate,Cold,Good
59,Female,108,3.61,High,Normal,Good
64,Female,73,1.59,Low,Cold,Poor
47,Female,71,2.12,Low,Cold,Poor
55,Female,101,3.04,Moderate,Normal,Good
54,Female,71,2.27,Moderate,Cold,Good
21,Male,54,1.81,Moderate,Cold,Good
27,Male,82,4.2,High,Hot,Good
64,Female,96,3.18,High,Cold,Good
46,Female,52,1.91,Low,Hot,Good
64,Female,89,3.29,High,Cold,Good
48,Female,80,3.14,Low,Hot,Good
60,Female,71,2.68,High,Normal,Good
28,Female,82,2.89,Low,Hot,Good
40,Female,91,3.52,High,Normal,Good
60,Female,56,2.29,Moderate,Normal,Good
57,Female,106,3.18,Low,Hot,Good
50,Male,104,4.91,High,Hot,Good
61,Female,49,2.79,Moderate,Hot,Good
25,Male,75,2.06,Low,Cold,Poor
68,Male,73,2.19,Low,Hot,Good
58,Male,55,1.8,Moderate,Normal,Good
63,Female,65,2.32,High,Normal,Good
53,Male,98,4.18,Moderate,Hot,Good
18,Male,107,3.72,High,Cold,Good
68,Female,84,3.33,High,Normal,Good
64,Male,97,4.15,High,Hot,Good
69,Male,101,2.73,Moderate,Normal,Poor
58,Male,79,2.67,High,Cold,Good
42,Female,82,3.31,High,Normal,Good
35,Male,78,2.76,Low,Normal,Good
60,Female,103,3.24,Moderate,Normal,Good
68,Female,98,2.02,Low,Cold,Poor
24,Male,96,3.5,Low,Hot,Good
41,Male,77,2.37,Moderate,Cold,Good
60,Female,66,1.9,Moderate,Normal,Poor
67,Male,93,3.87,High,Hot,Good
37,Male,93,3.85,High,Normal,Good
39,Male,107,4.41,Low,Hot,Good
66,Female,45,1.86,High,Normal,Good
47,Female,95,2.76,Moderate,Cold,Poor
36,Male,106,3.39,Moderate,Normal,Good
46,Male,93,2.03,Low,Cold,Poor
47,Male,60,2.86,High,Normal,Good
35,Male,45,2.63,High,Normal,Good
64,Male,82,3.13,High,Cold,Good
21,Female,45,1.5,Low,Cold,Good
56,Male,47,2.18,Moderate,Hot,Good
27,Female,78,3.95,High,Hot,Good
40,Male,99,2.63,Low,Normal,Poor
67,Male,51,2.09,High,Cold,Good
18,Male,101,2.95,Moderate,Cold,Poor
41,Female,103,4.8,High,Hot,Good
25,Female,98,3.48,High,Cold,Good
54,Female,95,3.7,High,Normal,Good
64,Female,52,1.56,Low,Hot,Good
49,Male,76,2.64,Low,Normal,Good
60,Male,60,1.6,Moderate,Cold,Poor
54,Male,98,3.04,High,Cold,Good
48,Female,99,3.57,Moderate,Cold,Good
24,Female,51,1.5,Low,Cold,Poor
38,Female,63,2.01,Moderate,Normal,Good
36,Male,80,3.24,Low,Hot,Good
35,Male,46,1.5,Low,Cold,Good
22,Female,64,3.46,High,Hot,Good
19,Male,56,3.01,High,Normal,Good
54,Male,82,3.63,Moderate,Hot,Good
26,Female,97,2.9,Moderate,Cold,Poor
69,Female,68,2.55,Moderate,Hot,Good
47,Female,103,4.68,Moderate,Hot,Good
49,Female,58,2.98,High,Normal,Good
19,Female,69,2.53,Low,Hot,Good
39,Male,48,1.5,Moderate,Cold,Good
46,Male,81,2.65,Low,Hot,Good
35,Female,86,2.36,Low,Cold,Poor
55,Male,78,2.29,Moderate,Cold,Poor
42,Male,71,3.23,High,Cold,Good
23,Male,84,2.77,Moderate,Normal,Good
62,Male,97,2.99,High,Cold,Good
62,Male,61,1.65,Moderate,Cold,Poor
45,Male,106,4.4,Moderate,Hot,Good
19,Female,98,3.88,Low,Hot,Good
68,Male,97,2.41,Low,Cold,Poor
43,Female,73,3.78,High,Hot,Good
57,Male,55,1.91,High,Cold,Good
66,Male,103,2.29,Low,Cold,Poor
52,Female,98,2.62,Low,Normal,Poor
64,Male,68,2.88,High,Cold,Good
22,Male,100,3.41,High,Cold,Good
53,Male,64,1.5,Low,Cold,Poor
69,Male,106,4.04,High,Cold,Good
60,Female,70,2.77,High,Normal,Good
26,Female,84,3.45,High,Cold,Good
42,Female,105,3.84,Moderate,Normal,Good
59,Male,69,2.02,Moderate,Normal,Poor
20,Male,88,2.81,Low,Cold,Good
55,Female,56,2.24,High,Normal,Good
61,Male,103,3.41,Moderate,Cold,Good
34,Male,101,2.68,Low,Cold,Poor
64,Female,56,1.62,Moderate,Cold,Poor
41,Male,52,3.4,High,Hot,Good
34,Male,69,4.17,High,Hot,Good
29,Male,59,2.96,High,Normal,Good
58,Male,70,2.34,High,Normal,Good
27,Male,60,3.23,High,Normal,Good
40,Female,70,2.67,Moderate,Normal,Good
24,Female,58,1.86,Moderate,Normal,Good
24,Female,53,1.98,Low,Hot,Good
25,Male,103,4.03,Moderate,Normal,Good
35,Male,83,2.15,Low,Cold,Poor
59,Male,61,1.5,Low,Cold,Poor
41,Male,104,3.1,Low,Normal,Poor
20,Female,81,3.16,High,Cold,Good
43,Female,99,3.57,Low,Hot,Good
56,Female,59,2.47,High,Cold,Good
21,Female,69,2.51,Moderate,Cold,Good
50,Female,60,2.43,Low,Hot,Good
61,Female,99,3.63,High,Normal,Good
51,Female,74,1.5,Low,Cold,Poor
30,Female,57,2.29,High,Cold,Good
49,Female,83,2.7,Low,Hot,Good
46,Male,106,4.47,High,Hot,Good
61,Female,101,3.31,Moderate,Normal,Good
61,Female,54,2.61,High,Hot,Good
56,Male,49,3.1,High,Hot,Good
66,Male,47,1.5,Low,Cold,Good
47,Male,62,2.29,High,Cold,Good
42,Male,92,2.98,High,Cold,Good
63,Female,59,2.55,Moderate,Hot,Good
41,Female,56,3.84,High,Hot,Good
54,Female,105,3.31,High,Cold,Good
23,Male,83,4.57,High,Hot,Good
63,Male,55,2.25,Moderate,Normal,Good
51,Male,69,2.71,Low,Hot,Good
21,Female,103,3.99,High,Normal,Good
46,Female,107,3.94,High,Normal,Good
68,Female,101,2.65,Moderate,Cold,Poor
66,Male,47,1.64,Moderate,Cold,Good
22,Female,49,1.5,Low,Cold,Good
40,Female,93,3.81,High,Normal,Good
37,Male,105,3.61,High,Cold,Good
52,Female,94,4.21,High,Hot,Good
34,Male,47,2.43,Low,Hot,Good
55,Male,57,1.63,Moderate,Normal,Poor
64,Male,58,3.5,High,Hot,Good
28,Female,100,3.77,High,Normal,Good
45,Male,73,2.58,Low,Normal,Good
42,Male,86,2.89,Low,Normal,Good
57,Male,69,2.82,High,Normal,Good
51,Male,82,2.62,Low,Hot,Good
22,Male,92,4.46,High,Hot,Good
23,Male,81,2.35,Moderate,Cold,Poor
30,Male,72,2.44,High,Cold,Good
34,Male,84,2.6,Low,Cold,Good
46,Male,102,3.63,Moderate,Normal,Good
57,Female,84,2.99,Low,Hot,Good
62,Female,77,4.09,High,Hot,Good
36,Male,84,1.97,Low,Cold,Poor
65,Female,85,2.58,Moderate,Normal,Good
62,Female,97,3.49,High,Cold,Good
44,Female,82,1.85,Low,Cold,Poor
22,Male,89,3.24,Moderate,Cold,Good
68,Female,75,2.98,High,Cold,Good
27,Female,76,2.62,Moderate,Normal,Good
47,Female,83,3.85,High,Hot,Good
53,Female,46,2.61,Moderate,Hot,Good
46,Female,56,1.89,Low,Hot,Good
49,Male,57,2.03,Moderate,Cold,Good
66,Male,61,1.85,Low,Hot,Good
51,Male,104,2.03,Low,Cold,Poor
62,Male,79,1.5,Low,Cold,Poor
36,Male,74,1.74,Low,Normal,Poor
58,Female,107,2.5,Low,Cold,Poor
32,Female,81,2.53,Moderate,Normal,Good
21,Female,64,3.31,Moderate,Hot,Good
67,Male,108,3.65,Moderate,Normal,Good
39,Male,61,2.91,High,Normal,Good
18,Female,66,2.8,Low,Hot,Good
35,Female,94,3.01,Low,Cold,Good
64,Female,73,2.54,High,Cold,Good
52,Male,96,2.84,Low,Normal,Poor
24,Female,73,3.41,High,Hot,Good
23,Male,76,3.25,Low,Hot,Good
40,Male,70,2.76,High,Normal,Good
51,Female,73,3.33,High,Normal,Good
52,Female,57,3.46,High,Hot,Good
32,Female,73,3.08,Low,Hot,Good
69,Female,76,2.26,Low,Hot,Poor
31,Male,66,2.31,Low,Hot,Good
20,Male,100,3.43,Moderate,Normal,Good
38,Male,91,2.85,Moderate,Cold,Good
37,Male,50,3.46,High,Hot,Good
22,Male,47,2.42,Moderate,Hot,Good
55,Female,59,2.42,Low,Hot,Good
52,Male,108,4.31,High,Normal,Good
41,Male,56,2.94,Moderate,Hot,Good
61,Male,71,2.5,Moderate,Cold,Good
63,Female,61,1.5,Moderate,Cold,Poor
25,Male,71,3.67,Moderate,Hot,Good
69,Male,47,1.5,Low,Normal,Good
61,Male,97,3.72,Low,Hot,Good
20,Male,64,3.22,High,Normal,Good
42,Female,61,3.14,Moderate,Hot,Good
37,Female,53,1.99,Low,Hot,Good
39,Male,46,2.68,High,Normal,Good
28,Male,108,4.4,Moderate,Hot,Good
25,Female,65,2.02,Moderate,Normal,Good
35,Female,82,1.95,Low,Cold,Poor
62,Female,77,2.96,Moderate,Normal,Good
58,Male,52,1.68,Moderate,Cold,Good
68,Female,85,2.49,Moderate,Normal,Poor
63,Female,76,2.2,High,Cold,Poor
39,Female,64,2.47,High,Cold,Good
57,Female,76,3.42,High,Normal,Good
50,Male,46,1.5,Low,Cold,Good
58,Female,74,2.15,High,Cold,Poor
69,Male,70,2.9,Moderate,Hot,Good
19,Male,82,3.23,Low,Hot,Good
63,Male,59,2.87,High,Hot,Good
61,Female,93,2.64,Low,Cold,Poor
20,Female,50,2.09,Moderate,Normal,Good
26,Female,76,2.28,Moderate,Cold,Good
29,Male,52,2.21,Moderate,Cold,Good
45,Female,106,3.46,Low,Normal,Good
64,Female,51,2.09,High,Cold,Good
33,Female,48,2.54,High,Normal,Good
39,Male,70,2.58,Moderate,Normal,Good
58,Male,104,4.25,Moderate,Hot,Good
28,Female,56,1.5,Low,Normal,Poor
30,Female,69,2.44,Low,Normal,Good
36,Male,99,4.14,Moderate,Hot,Good
62,Female,52,1.83,Moderate,Cold,Good
49,Male,95,3.01,Moderate,Normal,Good
23,Female,62,3.01,High,Normal,Good
54,Male,100,3.37,Moderate,Cold,Good
20,Female,72,3.06,Moderate,Hot,Good
52,Male,105,4.12,High,Hot,Good
32,Male,51,1.5,Low,Cold,Poor
47,Female,75,2.87,Low,Hot,Good
41,Female,64,2.05,Low,Normal,Good
45,Female,64,2.92,High,Normal,Good
67,Male,93,2.5,Low,Normal,Poor
58,Female,80,2.33,Low,Hot,Poor
51,Male,78,2.83,Moderate,Normal,Good
56,Male,86,2.47,Low,Cold,Poor
29,Male,47,1.53,Low,Normal,Good
57,Male,65,2.38,Moderate,Normal,Good
52,Male,70,2.72,High,Cold,Good
65,Female,86,2.52,Moderate,Normal,Poor
31,Male,46,1.76,Low,Hot,Good
22,Male,82,2.45,Low,Normal,Poor
64,Female,58,1.5,Low,Normal,Poor
42,Male,46,1.5,Low,Cold,Good
34,Female,72,3.12,Moderate,Hot,Good
54,Female,49,2.7,High,Hot,Good
57,Male,100,2.3,Low,Cold,Poor
40,Female,91,4.16,High,Hot,Good
27,Male,58,1.57,Low,Normal,Poor
46,Male,54,2.99,Moderate,Hot,Good
58,Male,45,1.5,Moderate,Normal,Good
25,Female,87,3.76,Low,Hot,Good
37,Female,72,1.7,Low,Normal,Poor
54,Female,91,3.79,Moderate,Hot,Good
54,Male,93,3.83,High,Normal,Good
61,Male,100,2.49,Low,Cold,Poor
32,Male,50,2.41,Moderate,Hot,Good
37,Male,46,1.5,Low,Normal,Good
54,Female,64,1.67,Moderate,Normal,Poor
18,Female,79,3.02,Low,Hot,Good
22,Female,77,2.32,Low,Normal,Good
31,Female,56,1.83,Moderate,Normal,Good
67,Male,87,2.83,High,Normal,Good
42,Female,94,4.99,High,Hot,Good
56,Male,100,3.42,Low,Hot,Good
67,Male,67,2.88,High,Normal,Good
37,Male,67,1.54,Low,Normal,Poor
62,Male,96,3.98,Moderate,Hot,Good
59,Female,52,1.73,Low,Normal,Good
18,Female,52,2.92,High,Hot,Good
55,Male,49,2.63,High,Normal,Good
64,Male,78,2.7,Moderate,Normal,Good
43,Male,87,3.49,Low,Hot,Good
67,Male,61,1.86,Low,Normal,Good
64,Female,90,3.52,Low,Hot,Good
18,Male,63,2.53,Moderate,Cold,Good
31,Male,97,4.28,Moderate,Hot,Good
58,Female,106,3.04,Low,Normal,Poor
67,Female,108,3.19,Low,Hot,Poor
26,Female,77,2.92,Low,Hot,Good
65,Male,57,2.39,Low,Hot,Good
30,Female,75,2.19,Low,Cold,Poor
21,Male,48,3.31,High,Hot,Good
23,Female,57,3.21,Moderate,Hot,Good
36,Male,45,1.5,Moderate,Normal,Good
24,Female,59,3.1,Moderate,Hot,Good
24,Male,59,2.67,Low,Hot,Good
46,Female,77,2.05,Low,Normal,Poor
66,Female,79,1.8,Low,Normal,Poor
43,Male,55,2.45,High,Cold,Good
63,Male,90,3.1,High,Cold,Good
38,Male,70,2.75,Moderate,Cold,Good
19,Female,72,2.89,Moderate,Hot,Good
43,Female,69,1.95,Low,Normal,Poor
51,Male,92,3.24,Low,Hot,Good
61,Female,59,1.56,Moderate,Cold,Poor
40,Male,90,3.62,High,Cold,Good
60,Female,65,1.85,Moderate,Normal,Poor
33,Male,91,2.0,Low,Cold,Poor
32,Female,69,3.42,Moderate,Hot,Good
68,Male,59,1.5,Low,Normal,Poor
30,Female,63,1.99,Moderate,Normal,Good
21,Male,96,3.25,Moderate,Cold,Good
46,Female,72,1.9,Low,Cold,Poor
33,Male,80,3.32,High,Cold,Good
19,Male,93,3.27,Low,Normal,Good
43,Female,51,2.91,Moderate,Hot,Good
27,Male,83,2.22,Low,Cold,Poor
24,Male,107,3.32,Moderate,Normal,Good
59,Female,105,2.31,Low,Cold,Poor
53,Male,51,3.25,High,Hot,Good
61,Female,89,3.2,High,Cold,Good
30,Male,66,4.0,High,Hot,Good
39,Male,53,2.38,Moderate,Normal,Good
32,Female,54,1.99,Low,Hot,Good
59,Female,68,1.5,Low,Cold,Poor
43,Male,81,2.73,Moderate,Normal,Good
41,Female,63,2.24,Low,Normal,Good
56,Male,62,3.03,Moderate,Hot,Good
27,Male,99,4.76,High,Hot,Good
64,Female,93,2.43,Low,Cold,Poor
51,Male,77,2.43,High,Cold,Good
34,Male,66,2.2,Low,Hot,Good
32,Male,79,3.18,Low,Hot,Good
49,Male,55,2.08,Low,Hot,Good
31,Female,101,4.03,High,Normal,Good
19,Female,108,2.58,Low,Cold,Poor
38,Male,62,3.46,High,Hot,Good
56,Male,85,2.64,Moderate,Cold,Good
56,Female,68,2.07,High,Cold,Good
36,Female,86,3.69,Low,Hot,Good
62,Female,80,2.69,High,Normal,Good
50,Male,80,3.29,Moderate,Hot,Good
25,Male,85,3.17,Moderate,Normal,Good
30,Male,93,4.82,High,Hot,Good
22,Female,88,2.37,Low,Normal,Poor
38,Male,52,2.94,High,Normal,Good
67,Male,88,2.36,Moderate,Cold,Poor
20,Male,46,2.57,High,Cold,Good
19,Male,79,3.8,Moderate,Hot,Good
47,Female,52,2.34,Low,Hot,Good
53,Female,75,2.4,Moderate,Cold,Good
33,Female,106,3.3,Moderate,Cold,Good
33,Male,56,2.53,High,Normal,Good
